owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202479304,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202479304,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202481492,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202481492,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202482779,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202482779,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202503361,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202503361,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202515369,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202515369,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202520295,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202520295,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202522501,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202522501,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202553412,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202553412,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202553741,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202553741,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202562429,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202562429,,,null - null,,30,tax_delinquency
,"Adjudged Value: $223,927.00 Minimum Bid: $200,000.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202229506,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202229506,"$223,927.00","$200,000.00",null - null,,30,tax_delinquency
,"Adjudged Value: $120,245.00 Minimum Bid: $86,464.11",,Harris Co. Tax Sale,TAX_DELINQUENT,,201923515,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201923515,"$120,245.00","$86,464.11",2017 - 2023,,30,tax_delinquency
,"Adjudged Value: $481,908.00 Minimum Bid: $26,232.81",,Harris Co. Tax Sale,TAX_DELINQUENT,,202312745,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202312745,"$481,908.00","$26,232.81",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $108,341.00 Minimum Bid: $20,917.23",,Harris Co. Tax Sale,TAX_DELINQUENT,,202367311,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202367311,"$108,341.00","$20,917.23",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $592,853.00 Minimum Bid: $44,706.65",,Harris Co. Tax Sale,TAX_DELINQUENT,,202471246,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202471246,"$592,853.00","$44,706.65",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $55,299.00 Minimum Bid: $40,325.96",,Harris Co. Tax Sale,TAX_DELINQUENT,,201536445,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201536445,"$55,299.00","$40,325.96",2007 - 2015,,30,tax_delinquency
,"Adjudged Value: $172,832.00 Minimum Bid: $60,454.10",,Harris Co. Tax Sale,TAX_DELINQUENT,,201872000,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201872000,"$172,832.00","$60,454.10",2007 - 2021,,30,tax_delinquency
,"Adjudged Value: $97,189.00 Minimum Bid: $50,177.09",,Harris Co. Tax Sale,TAX_DELINQUENT,,201918930,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201918930,"$97,189.00","$50,177.09",1992 - 2020,,30,tax_delinquency
,"Adjudged Value: $381,284.00 Minimum Bid: $142,771.99",,Harris Co. Tax Sale,TAX_DELINQUENT,,202004426,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202004426,"$381,284.00","$142,771.99",1995 - 2024,,30,tax_delinquency
,"Adjudged Value: $359,018.00 Minimum Bid: $22,180.39",,Harris Co. Tax Sale,TAX_DELINQUENT,,202082190,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202082190,"$359,018.00","$22,180.39",2018 - 2022,,30,tax_delinquency
,"Adjudged Value: $127,332.00 Minimum Bid: $27,562.99",,Harris Co. Tax Sale,TAX_DELINQUENT,,202167833,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202167833,"$127,332.00","$27,562.99",2019 - 2024,,30,tax_delinquency
,"Adjudged Value: $152,276.00 Minimum Bid: $54,556.16",,Harris Co. Tax Sale,TAX_DELINQUENT,,202348110,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202348110,"$152,276.00","$54,556.16",1987 - 2024,,30,tax_delinquency
,"Adjudged Value: $163,800.00 Minimum Bid: $39,168.27",,Harris Co. Tax Sale,TAX_DELINQUENT,,202514047,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202514047,"$163,800.00","$39,168.27",2016 - 2024,,30,tax_delinquency
,"Adjudged Value: $114,107.00 Minimum Bid: $27,355.53",,Harris Co. Tax Sale,TAX_DELINQUENT,,202525497,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202525497,"$114,107.00","$27,355.53",2011 - 2024,,30,tax_delinquency
,"Adjudged Value: $226,939.00 Minimum Bid: $10,489.71",,Harris Co. Tax Sale,TAX_DELINQUENT,,202439262,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202439262,"$226,939.00","$10,489.71",2022 - 2023,,30,tax_delinquency
,"Adjudged Value: $219,189.00 Minimum Bid: $134,057.69",,Harris Co. Tax Sale,TAX_DELINQUENT,,202487032,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202487032,"$219,189.00","$134,057.69",null - null,,30,tax_delinquency
,"Adjudged Value: $240,000.00 Minimum Bid: $30,709.70",,Harris Co. Tax Sale,TAX_DELINQUENT,,124382703,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,124382703,"$240,000.00","$30,709.70",null - null,,30,tax_delinquency
,"Adjudged Value: $81,288.00 Minimum Bid: $10,000.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,201705771!,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201705771!,"$81,288.00","$10,000.00",null - null,,30,tax_delinquency
,"Adjudged Value: $156,912.00 Minimum Bid: $12,123.67",,Harris Co. Tax Sale,TAX_DELINQUENT,,202542395,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202542395,"$156,912.00","$12,123.67",null - null,,30,tax_delinquency
,"Adjudged Value: $310,603.00 Minimum Bid: $310,603.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,201834582,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201834582,"$310,603.00","$310,603.00",1998 - 2018,,30,tax_delinquency
,"Adjudged Value: $2,403,366.00 Minimum Bid: $199,272.99",,Harris Co. Tax Sale,TAX_DELINQUENT,,202356740,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202356740,"$2,403,366.00","$199,272.99",2022 - 2024,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202356740,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202356740,,,2022 - 2024,,30,tax_delinquency
,"Adjudged Value: $113,437.00 Minimum Bid: $69,962.71",,Harris Co. Tax Sale,TAX_DELINQUENT,,201929488,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201929488,"$113,437.00","$69,962.71",2011 - 2024,,30,tax_delinquency
,"Adjudged Value: $89,780.00 Minimum Bid: $10,774.58",,Harris Co. Tax Sale,TAX_DELINQUENT,,202346192,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202346192,"$89,780.00","$10,774.58",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $291,313.00 Minimum Bid: $21,178.34",,Harris Co. Tax Sale,TAX_DELINQUENT,,202475495,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202475495,"$291,313.00","$21,178.34",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $306,468.00 Minimum Bid: $34,204.99",,Harris Co. Tax Sale,TAX_DELINQUENT,,202146710,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202146710,"$306,468.00","$34,204.99",null - null,,30,tax_delinquency
,"Adjudged Value: $188,558.00 Minimum Bid: $16,852.86",,Harris Co. Tax Sale,TAX_DELINQUENT,,202177701,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202177701,"$188,558.00","$16,852.86",null - null,,30,tax_delinquency
,"Adjudged Value: $14,850.00 Minimum Bid: $14,850.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202219629,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202219629,"$14,850.00","$14,850.00",null - null,,30,tax_delinquency
,"Adjudged Value: $60,861.00 Minimum Bid: $12,971.85",,Harris Co. Tax Sale,TAX_DELINQUENT,,202326361,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202326361,"$60,861.00","$12,971.85",null - null,,30,tax_delinquency
,"Adjudged Value: $15,919.00 Minimum Bid: $15,919.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202333025,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202333025,"$15,919.00","$15,919.00",null - null,,30,tax_delinquency
,"Adjudged Value: $9,806.00 Minimum Bid: $9,806.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202012386,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202012386,"$9,806.00","$9,806.00",null - null,,30,tax_delinquency
,"Adjudged Value: $361,183.00 Minimum Bid: $12,984.12",,Harris Co. Tax Sale,TAX_DELINQUENT,,202261975,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202261975,"$361,183.00","$12,984.12",null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202261975,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202261975,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202443769,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202443769,,,null - null,,30,tax_delinquency
