owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202110097,"$112,218.00","$33,017.46",2017 - 2023,,30,tax_delinquency
,"Adjudged Value: $178,335.00 Minimum Bid: $32,718.50",,Harris Co. Tax Sale,TAX_DELINQUENT,,202218167,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202218167,"$178,335.00","$32,718.50",2019 - 2024,,30,tax_delinquency
,"Adjudged Value: $45,500.00 Minimum Bid: $38,452.51",,Harris Co. Tax Sale,TAX_DELINQUENT,,202257117,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202257117,"$45,500.00","$38,452.51",1965 - 2024,,30,tax_delinquency
,"Adjudged Value: $49,934.00 Minimum Bid: $13,096.22",,Harris Co. Tax Sale,TAX_DELINQUENT,,202483134,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202483134,"$49,934.00","$13,096.22",2009 - 2024,,30,tax_delinquency
,"Adjudged Value: $57,152.00 Minimum Bid: $10,000.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,201918484,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201918484,"$57,152.00","$10,000.00",2000 - 2024,,30,tax_delinquency
,"Adjudged Value: $69,777.00 Minimum Bid: $2,500.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,201945110,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201945110,"$69,777.00","$2,500.00",2016 - 2023,,30,tax_delinquency
,"Adjudged Value: $164,997.00 Minimum Bid: $22,759.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,201946019,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201946019,"$164,997.00","$22,759.46",2017 - 2023,,30,tax_delinquency
,"Adjudged Value: $226,268.00 Minimum Bid: $33,246.21",,Harris Co. Tax Sale,TAX_DELINQUENT,,202056722,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202056722,"$226,268.00","$33,246.21",2017 - 2023,,30,tax_delinquency
,"Adjudged Value: $147,391.00 Minimum Bid: $7,323.36",,Harris Co. Tax Sale,TAX_DELINQUENT,,202403931,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202403931,"$147,391.00","$7,323.36",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $401,201.00 Minimum Bid: $76,598.52",,Harris Co. Tax Sale,TAX_DELINQUENT,,202321996,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202321996,"$401,201.00","$76,598.52",null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202527745,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202527745,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202412580,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202412580,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202484768,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202484768,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202481423,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202481423,,,null - null,,30,tax_delinquency
,"Adjudged Value: $101,604.00 Minimum Bid: $38,461.06",,Harris Co. Tax Sale,TAX_DELINQUENT,,202274788,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202274788,"$101,604.00","$38,461.06",1989 - 2024,,30,tax_delinquency
,"Adjudged Value: $174,761.00 Minimum Bid: $30,124.08",,Harris Co. Tax Sale,TAX_DELINQUENT,,202317162,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202317162,"$174,761.00","$30,124.08",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $57,378.00 Minimum Bid: $4,924.86",,Harris Co. Tax Sale,TAX_DELINQUENT,,202387450,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202387450,"$57,378.00","$4,924.86",2022 - 2024,,30,tax_delinquency
,"Adjudged Value: $20,808.00 Minimum Bid: $7,649.24",,Harris Co. Tax Sale,TAX_DELINQUENT,,201751037,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201751037,"$20,808.00","$7,649.24",2011 - 2024,,30,tax_delinquency
,"Adjudged Value: $6,273.00 Minimum Bid: $2,546.78",,Harris Co. Tax Sale,TAX_DELINQUENT,,202045516,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202045516,"$6,273.00","$2,546.78",2000 - 2023,,30,tax_delinquency
,"Adjudged Value: $42,409.00 Minimum Bid: $22,090.85",,Harris Co. Tax Sale,TAX_DELINQUENT,,201934812,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201934812,"$42,409.00","$22,090.85",2016 - 2024,,30,tax_delinquency
,"Adjudged Value: $16,398.00 Minimum Bid: $4,260.55",,Harris Co. Tax Sale,TAX_DELINQUENT,,202062695,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202062695,"$16,398.00","$4,260.55",2000 - 2024,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202062695,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202062695,,,2000 - 2024,,30,tax_delinquency
,"Adjudged Value: $199,797.00 Minimum Bid: $5,218.06",,Harris Co. Tax Sale,TAX_DELINQUENT,,202077775,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202077775,"$199,797.00","$5,218.06",2019 - 2024,,30,tax_delinquency
,"Adjudged Value: $114,555.00 Minimum Bid: $12,729.77",,Harris Co. Tax Sale,TAX_DELINQUENT,,202222268,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202222268,"$114,555.00","$12,729.77",2016 - 2024,,30,tax_delinquency
,"Adjudged Value: $105,180.00 Minimum Bid: $4,755.19",,Harris Co. Tax Sale,TAX_DELINQUENT,,202420535,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202420535,"$105,180.00","$4,755.19",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $348,390.00 Minimum Bid: $25,197.03",,Harris Co. Tax Sale,TAX_DELINQUENT,,202451404,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202451404,"$348,390.00","$25,197.03",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $412,623.00 Minimum Bid: $9,717.32",,Harris Co. Tax Sale,TAX_DELINQUENT,,202439429,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202439429,"$412,623.00","$9,717.32",null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202511872,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202511872,,,null - null,,30,tax_delinquency
,"Adjudged Value: $30,154.00 Minimum Bid: $5,561.44",,Harris Co. Tax Sale,TAX_DELINQUENT,,1247956702,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,1247956702,"$30,154.00","$5,561.44",null - null,,30,tax_delinquency
,"Adjudged Value: $322,373.00 Minimum Bid: $6,467.86",,Harris Co. Tax Sale,TAX_DELINQUENT,,202454237,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202454237,"$322,373.00","$6,467.86",null - null,,30,tax_delinquency
,"Adjudged Value: $219,686.00 Minimum Bid: $19,023.39",,Harris Co. Tax Sale,TAX_DELINQUENT,,202540593,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202540593,"$219,686.00","$19,023.39",null - null,,30,tax_delinquency
,"Adjudged Value: $223,350.00 Minimum Bid: $7,694.69",,Harris Co. Tax Sale,TAX_DELINQUENT,,202433767,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202433767,"$223,350.00","$7,694.69",null - null,,30,tax_delinquency
,"Adjudged Value: $282,434.00 Minimum Bid: $8,636.20",,Harris Co. Tax Sale,TAX_DELINQUENT,,202388464,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202388464,"$282,434.00","$8,636.20",null - null,,30,tax_delinquency
